        id cohort wave school psamesexuc emcavgdeprmc emcavgdeprmc_es emcavgdepruc emcavgdepruc_es cmty outdegc indegc    recipc   egodenuc etrnstvtyc boncentuc toutdegree netdat
1  1261298      1    1    219  0.8333333           NA              NA           NA              NA  126       5      4 0.6000000 0.20000000  0.2777778 0.9126624          6      1
2  1271080      1    1    221  0.7777778           NA              NA           NA              NA  127       4      8 0.7500000 0.06944444  0.3000000 1.0979752          4      1
3  1261298      1    2    219  1.0000000           NA              NA           NA              NA  126       1      5 1.0000000 0.10000000  0.0000000 0.3622961          5      1
4  1271080      1    2    221  0.7000000           NA              NA           NA              NA  127       5      8 0.6000000 0.13333333  0.1111111 1.2415882          6      1
5  1261298      1    3    219  0.9166667           NA              NA           NA              NA  126       7     10 0.7142857 0.16666667  0.5000000 1.5243225          7      1
6  1271080      1    3    221  0.8571429           NA              NA           NA              NA  127       5      5 0.6000000 0.23809524  0.3636364 1.1131517          7      1
7  1261298      1    4    219  0.6250000           NA              NA           NA              NA  126       4      6 0.5000000 0.07142857  0.0000000 0.9354380          7      1
8  1271080      1    4    221  0.5714286           NA              NA           NA              NA  127       5      7 1.0000000 0.09523810  0.1363636 1.2397497          5      1
9  1261298      1    5    313  0.7000000         0.00               2    0.3500000              10  126       6      6 0.3333333 0.22222222  0.5200000 1.6744645          6      1
10 1271080      1    5    314  0.8333333         0.54               5    0.4500000               6  127       5      6 1.0000000 0.23333333  0.3125000 0.9367213          6      1
11 1261298      1    6    313  0.8571429         0.15               2    0.4571429               7  126       5      4 0.4000000 0.16666667  0.5000000 0.8646029          6      1
12 1271080      1    6    314  0.8888889         0.75               2    0.6444444               9  127       5      6 0.4000000 0.19444444  0.5000000 1.5711917          6      1
13 1261298      1    7    313  0.8333333         0.50               1    0.2833333               6  126       5      2 0.2000000 0.23333333  0.5833333 1.2391604          6      1
14 1261298      1    8    313  1.0000000           NA               0    0.1000000               1  126       0      1        NA         NA         NA 0.0000000          0      1
15 1132036      2    1    203  0.8333333           NA              NA           NA              NA  113       5      2 0.2000000 0.23333333  0.3500000 1.0618514          5      1
16 1132036      2    2    203  1.0000000           NA              NA           NA              NA  113       6      3 0.5000000 0.36666667  0.5500000 1.0005168          7      1
17 1132036      2    4    203  0.9000000           NA              NA           NA              NA  113       5      8 0.6000000 0.32222222  0.3478261 1.8670442          5      1
18 1132036      2    6    303  1.0000000         0.00               2    0.0400000               5  113       2      5 1.0000000 0.75000000  0.2500000 1.0788404          2      1
19 1132036      2    7    303  0.8000000         0.10               5    0.1800000              10  113       7      8 0.7142857 0.30000000  0.5357143 2.0769608          7      1
20 1132036      2    8    303  1.0000000           NA               0    0.0000000               3  113       0      3        NA 0.66666667         NA 0.7159641          0      1
